"Id","Sales"
1,7321.31
24825,6396.91
5993,6683.37
37665,6396.91
18833,6683.37
12841,6396.91
19689,6683.37
857,6396.91
15409,4926.21
38521,6396.91
13697,6396.91
7705,6683.37
39377,4926.21
20545,6683.37
1713,6396.91
16265,6683.37
33385,4926.21
27393,4926.21
2569,6396.91
40233,6683.37
21401,4926.21
35953,6396.91
34241,6683.37
3425,4926.21
22257,6683.37
9417,4926.21
30817,6683.37
10273,6683.37
35097,6396.91
23113,6396.91
4281,6683.37
14553,6396.91
8561,6683.37
29961,6683.37
25681,6396.91
5137,6683.37
23969,6396.91
36809,6396.91
17977,6683.37
26537,6396.91
11985,6396.91
6849,6683.37
17121,6683.37
29105,6683.37
32529,6683.37
11129,6396.91
31673,6683.37
28249,6683.37
23970,6201.43
1714,6201.43
24826,6201.43
18834,6223.71
38522,6201.43
5994,6223.71
35954,6201.43
2,9306.39
39378,4562.75
4282,6223.71
29106,6223.71
8562,6223.71
9418,4562.75
25682,6201.43
19690,6223.71
34242,6223.71
16266,6223.71
22258,6223.71
26538,6201.43
20546,6223.71
10274,6223.71
30818,6223.71
37666,6201.43
33386,4562.75
14554,6201.43
858,6201.43
21402,4562.75
2570,6201.43
11130,6201.43
5138,6223.71
40234,6223.71
32530,6223.71
36810,6201.43
11986,6201.43
15410,4562.75
35098,6201.43
29962,6223.71
23114,6201.43
17978,6223.71
31674,6223.71
28250,6223.71
6850,6223.71
13698,6201.43
27394,4562.75
7706,6223.71
17122,6223.71
12842,6201.43
3426,4562.75
4283,6160.59
23971,6089.47
24827,6089.47
1715,6089.47
8563,6160.59
5995,6160.59
29107,6160.59
38523,6089.47
34243,6160.59
22259,6160.59
35955,6089.47
3,5186.78
20547,6160.59
39379,4528.94
16267,6160.59
26539,6089.47
23115,6089.47
18835,6160.59
25683,6089.47
37667,6089.47
859,6089.47
17123,6160.59
5139,6160.59
19691,6160.59
9419,4528.94
7707,6160.59
11987,6089.47
10275,6160.59
35099,6089.47
33387,4528.94
14555,6089.47
21403,4528.94
2571,6089.47
11131,6089.47
29963,6160.59
15411,4528.94
28251,6160.59
32531,6160.59
13699,6089.47
36811,6089.47
30819,6160.59
40235,6160.59
6851,6160.59
12843,6089.47
27395,4528.94
17979,6160.59
3427,4528.94
31675,6160.59
860,6035.32
24828,6035.32
5996,6115.03
4284,6115.03
26540,6035.32
23972,6035.32
1716,6035.32
28252,6115.03
4,5756.51
23116,6035.32
37668,6035.32
16268,6115.03
35956,6035.32
11132,6035.32
19692,6115.03
5140,6115.03
22260,6115.03
32532,6115.03
11988,6035.32
30820,6115.03
39380,4471.73
10276,6115.03
33388,4471.73
14556,6035.32
40236,6115.03
25684,6035.32
6852,6115.03
17124,6115.03
34244,6115.03
15412,4471.73
3428,4471.73
20548,6115.03
9420,4471.73
17980,6115.03
21404,4471.73
35100,6035.32
7708,6115.03
8564,6115.03
29108,6115.03
2572,6035.32
29964,6115.03
36812,6035.32
38524,6035.32
27396,4471.73
13700,6035.32
31676,6115.03
12844,6035.32
18836,6115.03
16269,6207.27
23973,6118.08
4285,6207.27
11989,6118.08
11133,6118.08
861,6118.08
23117,6118.08
1717,6118.08
5997,6207.27
5,5639.1
17125,6207.27
34245,6207.27
22261,6207.27
21405,4572.45
26541,6118.08
9421,4572.45
30821,6207.27
10277,6207.27
35101,6118.08
33389,4572.45
35957,6118.08
5141,6207.27
12845,6118.08
6853,6207.27
36813,6118.08
20549,6207.27
3429,4572.45
32533,6207.27
2573,6118.08
8565,6207.27
24829,6118.08
29109,6207.27
18837,6207.27
25685,6118.08
15413,4572.45
40237,6207.27
38525,6118.08
7709,6207.27
17981,6207.27
39381,4572.45
27397,4572.45
29965,6207.27
31677,6207.27
19693,6207.27
14557,6118.08
28253,6207.27
13701,6118.08
37669,6118.08
24830,6115.24
34246,6228.93
35102,6115.24
10278,6228.93
20550,6228.93
5142,6228.93
16270,6228.93
22262,6228.93
15414,4600.44
30822,6228.93
11990,6115.24
6,4932.54
11134,6115.24
8566,6228.93
862,6115.24
29966,6228.93
13702,6115.24
17126,6228.93
26542,6115.24
39382,4600.44
1718,6115.24
17982,6228.93
33390,4600.44
27398,4600.44
29110,6228.93
2574,6115.24
19694,6228.93
40238,6228.93
35958,6115.24
